# CIRISPersist FFI surface classification — the EVIDENCE-layer projection.
#
# Source of truth: scripts/ffi_taxonomy.tsv, gated by scripts/pyi_surface.py check.
# This file is that pin, surfaced where the Constitution can read it.
#
# CIRISConstitution#83 ratified the taxonomy's GENERATING QUESTION — 'what different
# kind of wrong happens if I vary this?' — not merely its categories. A class
# justified by name-shape is not a class under that ruling.
#
# The twelfth row, `testimonial`, was ratified from persist's residual: varying it
# makes the record unable to prove what happened. Nothing breaks, nothing is
# falsified, nothing is newly permitted; what dies is demonstrability. The
# discriminator against `epistemic` is REPAIRABILITY — an epistemic wrong is
# re-derivable from the world it misreports; a testimonial wrong IS the only
# record, so no later reading recovers it.
#
# BINDING (CC authority): structural, deontic, testimonial, axiomatic.
# DESCRIPTIVE (this repo's authority): the rest. `contingent` is deliberately
# empty — it is defined relative to arms of a variation study, and an FFI
# surface has none.
#
# CC asked for this file because 53 testimonial rows living only in a gated TSV
# is itself a testimonial-class state: the class should not exemplify its own wrong.
#
# Counts at this revision: empirical=180 deontic=125 structural=40 testimonial=37 procedural=36 ontological=34 epistemic=29 axiotic=19 nomological=12 pragmatic=6 axiomatic=3
#
class	binding	class_count	owner	symbol	frame
axiomatic	binding	3	MODULE	namespace_manifest_version	
axiomatic	binding	3	MODULE	persist_field_conformance	
axiomatic	binding	3	MODULE	transform_algebra_hash	
axiotic	descriptive	19	Engine	aggregate_audit_chain	
axiotic	descriptive	19	Engine	aggregate_llm_costs	
axiotic	descriptive	19	Engine	aggregate_scoring_factors	
axiotic	descriptive	19	Engine	aggregate_scoring_factors_batch	
axiotic	descriptive	19	Engine	aggregate_scoring_factors_stream	
axiotic	descriptive	19	Engine	aggregate_scrub_stats	
axiotic	descriptive	19	Engine	cirisnode_get_credits_ledger	
axiotic	descriptive	19	Engine	cirisnode_get_expertise_ledger	
axiotic	descriptive	19	Engine	cirisnode_read_vote_weight	
axiotic	descriptive	19	Engine	cirisnode_routable_contributors	
axiotic	descriptive	19	Engine	cirisnode_update_credits_ledger	
axiotic	descriptive	19	Engine	cirisnode_update_expertise_ledger	
axiotic	descriptive	19	Engine	conscience_override_rates	
axiotic	descriptive	19	Engine	get_aggregation	
axiotic	descriptive	19	Engine	list_aggregations_at_level	
axiotic	descriptive	19	Engine	list_scores	
axiotic	descriptive	19	Engine	put_aggregated_tier	
axiotic	descriptive	19	Engine	resolve_scores	
axiotic	descriptive	19	Engine	verify_coord_compare_for_merge	
deontic	binding	125	Engine	accord_nonce_issued	
deontic	binding	125	Engine	add_community_member	
deontic	binding	125	Engine	add_moderator	
deontic	binding	125	Engine	add_peer_record_json	
deontic	binding	125	Engine	adopt_scrub_upgrade	
deontic	binding	125	Engine	apply_replicated_accord_evidence	
deontic	binding	125	Engine	apply_replicated_attestation	
deontic	binding	125	Engine	apply_replicated_key_record	
deontic	binding	125	Engine	attestation_promote	
deontic	binding	125	Engine	bake_assembled_genesis	
deontic	binding	125	Engine	blackhole_prune_expired_iso	
deontic	binding	125	Engine	blackhole_record_hit	
deontic	binding	125	Engine	blackhole_remove	
deontic	binding	125	Engine	blackhole_upsert	
deontic	binding	125	Engine	build_corpus_want_v1	
deontic	binding	125	Engine	build_storage_budget_v1	
deontic	binding	125	Engine	check_no_moderator_federate_json	
deontic	binding	125	Engine	cirisnode_cast_vote	
deontic	binding	125	Engine	cirisnode_process_takedown_admission_json	
deontic	binding	125	Engine	cirisnode_put_key_grant_json	
deontic	binding	125	Engine	cirisnode_put_moderation_event	
deontic	binding	125	Engine	cirisnode_put_promotion_attestation	
deontic	binding	125	Engine	cirisnode_put_reconsideration_attestation	
deontic	binding	125	Engine	cirisnode_put_reconsideration_request	
deontic	binding	125	Engine	cirisnode_put_slashing_attestation	
deontic	binding	125	Engine	cirisnode_retire_key_grants_json	
deontic	binding	125	Engine	clear_active_halt	
deontic	binding	125	Engine	cohort_add_member	
deontic	binding	125	Engine	cohort_build_membership_change_envelope	
deontic	binding	125	Engine	cohort_revoke_member	
deontic	binding	125	Engine	cohort_supersede_group	
deontic	binding	125	Engine	cohort_supersede_group_with_quorum	
deontic	binding	125	Engine	cohort_swap_member	
deontic	binding	125	Engine	cohort_verify_membership_quorum	
deontic	binding	125	Engine	corpus_want_admits	
deontic	binding	125	Engine	deregister_federation_key	
deontic	binding	125	Engine	emit_attestation	
deontic	binding	125	Engine	emit_attestation_self	
deontic	binding	125	Engine	evict_actor_json	
deontic	binding	125	Engine	federation_grant_trust	
deontic	binding	125	Engine	federation_revoke_trust	
deontic	binding	125	Engine	file_moderation	
deontic	binding	125	Engine	grant_delegation	
deontic	binding	125	Engine	grant_trust	
deontic	binding	125	Engine	has_accord_conferred_role	
deontic	binding	125	Engine	install_storage_budget_v1	
deontic	binding	125	Engine	is_load_bearing_json	
deontic	binding	125	Engine	is_named_moderator_json	
deontic	binding	125	Engine	is_steward_bound_json	
deontic	binding	125	Engine	issue_accord_nonce	
deontic	binding	125	Engine	may_release_copy_json	
deontic	binding	125	Engine	put_accord_decision_json	
deontic	binding	125	Engine	put_accord_participation_json	
deontic	binding	125	Engine	put_accord_proposal_json	
deontic	binding	125	Engine	put_attestation	
deontic	binding	125	Engine	put_blob_signing	
deontic	binding	125	Engine	put_community_json	
deontic	binding	125	Engine	put_edge_detection_event	
deontic	binding	125	Engine	put_family_json	
deontic	binding	125	Engine	put_fountain_content	
deontic	binding	125	Engine	put_identity_occurrence_json	
deontic	binding	125	Engine	put_org_membership	
deontic	binding	125	Engine	put_organization	
deontic	binding	125	Engine	put_partner_record	
deontic	binding	125	Engine	put_public_key	
deontic	binding	125	Engine	put_revocation	
deontic	binding	125	Engine	put_scope_blob	
deontic	binding	125	Engine	reachable_under_scope	
deontic	binding	125	Engine	reachable_under_scope_with_reasons	
deontic	binding	125	Engine	register_federation_key	
deontic	binding	125	Engine	register_public_key	
deontic	binding	125	Engine	rematerialize_role_withdrawals	
deontic	binding	125	Engine	remove_moderator	
deontic	binding	125	Engine	remove_peer_record	
deontic	binding	125	Engine	resolve_key_statement_standing_json	
deontic	binding	125	Engine	resolve_mesh_config_json	
deontic	binding	125	Engine	resolve_quarantine_json	
deontic	binding	125	Engine	resolve_reverse_quorum_json	
deontic	binding	125	Engine	resolve_transit_eligibility_json	
