# Doc-comment version references that name a version with no tag and no CHANGELOG entry.
# RATCHET BASELINE. A version listed here is grandfathered; anything NEW fails the gate.
# Burn this down (CIRISPersist#599) -- do not add to it.
#
# v30.12.0 burndown: 10 versions / 170 references retired. What is left is NOT
# the same kind of thing the retired rows were, so the rows are grouped by WHY
# they are still here. Only ONE group is a persist phantom, and it names work
# that is still unshipped, so there is no real version to name instead.
#
# The classification, so the next pass does not re-derive it:
#
#   FALSE POSITIVE  another project's version. `doc_version_refs.py`'s NAMED_CRATE
#                   guard reads only the text BEFORE the version ON THE SAME LINE,
#                   so a citation whose project name wrapped to the previous line
#                   ("...matching CIRISAgent\n//! v2.8.13's `wa_cert`") is invisible
#                   to it, as is any project not in its alternation (CIRISEdge,
#                   CIRISConformance, FSD-NNN). These doc comments are CORRECT and
#                   unambiguous to a reader; rewording them to satisfy a line-local
#                   regex would be gaming the gate, not improving the docs. The fix
#                   is in the GUARD -- widen the project list and let it see the
#                   enclosing doc block -- not in `src/`.
#
#   TAG-ONLY        a real persist release with a git tag and no CHANGELOG entry.
#                   The gate reads CHANGELOG only, deliberately: consulting `git tag`
#                   as well made it ENVIRONMENT-DEPENDENT -- green on a full local
#                   clone, RED in CI's shallow checkout. The reference is TRUE; the
#                   debt is the missing entry. Fix = backfill the CHANGELOG, then
#                   delete the row.
#
#   PLANNED         a persist version that was named for work which was never cut,
#                   and the work is STILL unshipped. There is no honest version to
#                   substitute; naming a real one would assert something false.
#
# version	refs	note
#
# ── FALSE POSITIVE: CIRISVerify ────────────────────────────────────────────────
10.6.2	1	CIRISVerify -- `admission.rs` "v21.4.0 (CIRISVerify#219 / v10.6.2)": the guard sees "#219 / " before the version, not the project name
10.6.3	1	CIRISVerify -- same shape as 10.6.2 ("CIRISVerify#221 / v10.6.3")
10.8.0	1	CIRISVerify -- `hardware_attestation.rs` capability table; the project name is in the module header, not the row
10.9.0	1	CIRISVerify -- capability-table row "shipped v10.9.0-v10.11.0"
10.10.0	1	CIRISVerify -- `trust_anchor_store::baked` citation
10.11.0	1	CIRISVerify -- capability-table row "shipped v10.9.0-v10.11.0"
3.0.1	2	CIRISVerify -- a HISTORICAL citation, twice: the pin `hardware_attestation.rs` used to name, and one of the four earlier verify re-pin burns `supersets.rs` lists
#
# ── FALSE POSITIVE: CIRISAgent ─────────────────────────────────────────────────
2.7.9	4	CIRISAgent -- `FSD/TRACE_WIRE_FORMAT.md @ v2.7.9-stable`; the guard cannot match across "TRACE_WIRE_FORMAT.md @ "
2.8.13	1	CIRISAgent -- `wa_cert/types.rs` "24 columns matching CIRISAgent / v2.8.13's `wa_cert` verbatim"; the name wrapped to the previous line
#
# ── FALSE POSITIVE: other CIRIS projects ───────────────────────────────────────
0.13.0	3	CIRISEdge -- the `PEER_MUTATION_FOLLOWUP` UniFFI stubs this surface unblocks
0.13.1	1	CIRISEdge -- `ReticulumTransport` link establish
0.15.0	1	CIRISEdge -- `ReticulumTransport`
2.1.0	1	CIRISEdge -- "CIRISPersist#199, CIRISEdge#65 v2.1.0". NOT persist's own v2.1.0 tag: the version belongs to CIRISEdge#65
0.10.0	1	CIRISConformance -- the cross-wheel deployment failure its suite catches
1.4.3	1	FSD-002 -- a specification document version (§3.2.1.2), not a crate release
#
# ── TAG-ONLY: real release, CHANGELOG entry missing ────────────────────────────
2.0.5	5	TAG EXISTS, no CHANGELOG entry -- iOS Secure-Enclave signer backoff + boot-time audit-chain self-verification, all in `ffi/pyo3.rs`. Backfill the entry, then delete this row
#
# ── PLANNED: named a cut that never happened, and the work is still unshipped ──
0.6.2	2	PERSIST PLANNED, never cut -- "v0.6.2 pipeline orchestration" for `decapsulate_secrets_in_parameters`, which is STILL a stub on both backends. The comment at `secrets/postgres.rs:1728` mirrors the runtime error STRING at `secrets/postgres.rs:601` (code, not a doc comment); correcting only the comment would desync them, and no shipped version implements the capability. Retire this row when the orchestration ships -- or when the stub is removed
